,Date,Users Purchased Control,Users Purchased Variant,Users Landed Control,Users Bounced Control,Users Landed Variant,Users Bounced Variant,Users Visited Control,Users Visited Variant,Conversion Rate Control,Conversion Rate Variant,Bounce Rate Control,Bounce Rate Variant
0,10/10/2014,8164,8034,116714,43480,118595,45786,134823,136799,0.060553466,0.058728499,0.372534572,0.386070239
1,10/11/2014,6185,5948,128451,59294,132081,63668,146452,150276,0.042232267,0.039580505,0.461607928,0.482037538
2,10/12/2014,7989,7589,120823,47482,120355,49703,139861,139387,0.057120999,0.054445537,0.39298809,0.412969964
3,10/13/2014,7794,7383,124564,49522,126101,53187,143092,144040,0.054468454,0.051256595,0.397562699,0.421780953
4,10/14/2014,6583,6291,125204,53472,128482,56601,144092,147529,0.045686089,0.042642464,0.427079007,0.440536418
5,10/15/2014,6401,6179,126881,57887,128842,60269,144917,146976,0.044170111,0.042040877,0.456230641,0.467774483
6,10/16/2014,6091,5943,135773,63856,138574,67398,153276,156195,0.039738772,0.038048593,0.470314422,0.486368294
7,10/17/2014,8344,8147,124010,45956,124898,47830,142540,143404,0.058537954,0.056811525,0.370583017,0.382952489
8,10/18/2014,15243,15264,133914,38635,133366,39023,156624,156327,0.097322249,0.097641482,0.288506056,0.292600813
9,10/19/2014,8904,8752,119465,43172,122159,46065,137873,140990,0.064581173,0.062075324,0.361377809,0.377090513
10,10/20/2014,7865,7513,126802,47989,127364,51611,145218,145524,0.054159953,0.051627223,0.378456176,0.405224396
11,10/21/2014,7279,7278,123551,51244,128570,55352,141832,146997,0.051321282,0.049511215,0.414759897,0.430520339
12,10/22/2014,6436,6230,131786,55526,135779,59113,150600,153981,0.042735724,0.040459537,0.421334588,0.435361875
13,10/23/2014,6832,6472,127909,57363,127850,59282,147045,146594,0.046461967,0.044149147,0.44846727,0.463684005
14,10/24/2014,8153,7959,117368,44032,119576,46144,135991,138448,0.059952497,0.057487288,0.375161884,0.385896835
15,10/25/2014,7224,6709,125105,51058,127812,54565,143782,147074,0.050242729,0.045616492,0.408121178,0.426916096
16,10/26/2014,8406,8035,117405,43471,117267,45622,135755,136269,0.061920371,0.058964255,0.370265321,0.389043806
17,10/27/2014,8221,7959,121214,43849,124713,47811,139592,143391,0.05889306,0.055505576,0.361748643,0.383368213
18,10/28/2014,9207,9085,118514,41029,122659,43670,137508,141789,0.066956104,0.064074082,0.346195386,0.356027687
19,10/29/2014,7209,7092,123915,48573,126824,52808,142197,145339,0.050697272,0.048796263,0.391986442,0.416388065
20,10/30/2014,8013,7724,114907,46073,120266,48908,133267,138524,0.060127413,0.055759291,0.400959036,0.406665225
