,Date,Users Purchased Control,Users Purchased Variant,Users Landed Control,Users Bounced Control,Users Landed Variant,Users Bounced Variant,Users Visited Control,Users Visited Variant,Conversion Rate Control,Conversion Rate Variant,Bounce Rate Control,Bounce Rate Variant
0,2014-10-10,1809.0,1875.0,27540.0,9675.0,28560.0,10073.0,31807.0,32954.0,0.05687427295878266,0.05689749347575408,0.35130718954248363,0.3526960784313726
1,2014-10-11,1472.0,1322.0,31761.0,14126.0,33388.0,16331.0,36169.0,37654.0,0.0406978351627084,0.03510915175014607,0.4447592959919398,0.48912783035821256
2,2014-10-12,1717.0,1681.0,27910.0,11357.0,27372.0,11956.0,32028.0,31759.0,0.05360934182590234,0.052929878144777856,0.40691508419921174,0.43679672658190855
3,2014-10-13,1831.0,1798.0,30293.0,13239.0,30610.0,13456.0,34731.0,35150.0,0.05271947251734761,0.05115220483641536,0.43703165747862543,0.4395949036262659
4,2014-10-14,1479.0,1491.0,30338.0,12697.0,32204.0,14177.0,34747.0,36537.0,0.04256482574035168,0.04080794810739798,0.4185180301931571,0.44022481679294495
5,2014-10-15,1412.0,1349.0,32143.0,14353.0,32385.0,15449.0,36334.0,36491.0,0.03886167226289426,0.036968019511660406,0.44653579317425257,0.4770418403581905
6,2014-10-16,1373.0,1273.0,31147.0,15508.0,33662.0,17267.0,35282.0,37875.0,0.038915027492772515,0.03361056105610561,0.4978970687385623,0.5129522904164934
7,2014-10-17,2040.0,1975.0,29805.0,11433.0,30940.0,11884.0,34058.0,34896.0,0.059897821363556286,0.056596744612563046,0.3835933568193256,0.38409825468649
8,2014-10-18,3282.0,3217.0,31111.0,8857.0,31403.0,8944.0,36440.0,36523.0,0.09006586169045006,0.08808148290118556,0.284690302465366,0.28481355284526955
9,2014-10-19,2177.0,2092.0,27287.0,8891.0,29191.0,10212.0,31628.0,33553.0,0.06883141520172,0.06234911930378804,0.3258328141605893,0.3498338528998664
10,2014-10-20,1735.0,1664.0,30239.0,12893.0,30914.0,13809.0,34672.0,35398.0,0.050040378403322566,0.0470083055539861,0.42636991964019977,0.44669081969334284
11,2014-10-21,1811.0,1770.0,27730.0,11185.0,28952.0,11870.0,31809.0,33008.0,0.056933572259423436,0.05362336403296171,0.40335376848178867,0.4099889472229898
12,2014-10-22,1342.0,1366.0,29718.0,12284.0,31595.0,12863.0,34431.0,36123.0,0.03897650373210188,0.037815242366359386,0.4133521771317047,0.4071213799651844
13,2014-10-23,1531.0,1482.0,29498.0,12211.0,30686.0,13956.0,33932.0,35318.0,0.04511965106683956,0.04196160597995356,0.41396026849277917,0.45480023463468683
14,2014-10-24,1758.0,1691.0,26701.0,10451.0,26823.0,10942.0,30875.0,30948.0,0.05693927125506073,0.054640041359700145,0.39140856147709824,0.40793348991537115
15,2014-10-25,1752.0,1677.0,29295.0,12123.0,31032.0,13254.0,33738.0,35649.0,0.05192957495998577,0.047041992762770345,0.41382488479262675,0.427107501933488
16,2014-10-26,1868.0,1895.0,29873.0,11171.0,29752.0,11319.0,34481.0,34520.0,0.054174762912908556,0.054895712630359216,0.37394972048337966,0.3804450121000269
17,2014-10-27,1877.0,1805.0,27574.0,10354.0,27885.0,10798.0,31606.0,32127.0,0.0593874580775802,0.05618327263672301,0.3754986581562341,0.38723327954097186
18,2014-10-28,2169.0,2272.0,27890.0,8809.0,28971.0,9303.0,32605.0,33955.0,0.0665235393344579,0.06691208953026063,0.31584797418429544,0.3211142176659418
19,2014-10-29,1525.0,1546.0,31044.0,11761.0,31485.0,12596.0,35063.0,35507.0,0.04349314091777658,0.04354071028247951,0.37884937508053085,0.40006352231221215
20,2014-10-30,1876.0,1743.0,27997.0,11171.0,29854.0,11727.0,32523.0,34583.0,0.057682255634474065,0.05040048578781482,0.399007036468193,0.3928116835264956
