,Date,Users Purchased Control,Users Purchased Variant,Users Landed Control,Users Bounced Control,Users Landed Variant,Users Bounced Variant,Users Visited Control,Users Visited Variant,Conversion Rate Control,Conversion Rate Variant,Bounce Rate Control,Bounce Rate Variant
0,2014-10-10,1326.0,1335.0,19714.0,7475.0,19934.0,7597.0,22842.0,22992.0,0.05805095876017862,0.05806367432150313,0.3791721619153901,0.3811076552623658
1,2014-10-11,1019.0,1036.0,20845.0,9905.0,21804.0,10642.0,24056.0,24979.0,0.04235949451280346,0.041474838864646306,0.47517390261453585,0.4880755824619336
2,2014-10-12,1347.0,1308.0,20627.0,7762.0,20863.0,8425.0,23875.0,24084.0,0.05641884816753927,0.05430991529646238,0.37630290396082805,0.40382495326654844
3,2014-10-13,1308.0,1265.0,19364.0,7691.0,19119.0,7872.0,22497.0,22134.0,0.05814108547806374,0.05715189301527063,0.39718033464160296,0.41173701553428527
4,2014-10-14,1073.0,1062.0,21503.0,9373.0,21034.0,9817.0,24560.0,24034.0,0.043688925081433225,0.044187401181659314,0.4358926661396084,0.46672054768470095
5,2014-10-15,1138.0,1100.0,21320.0,9214.0,21285.0,8867.0,24399.0,24318.0,0.046641255789171686,0.045233983057817256,0.4321763602251407,0.4165844491425887
6,2014-10-16,1130.0,1138.0,22223.0,10767.0,22027.0,10960.0,25100.0,25034.0,0.0450199203187251,0.04545817687944396,0.4844980425685101,0.49757116266400325
7,2014-10-17,1318.0,1367.0,19793.0,7587.0,20984.0,8056.0,22895.0,24162.0,0.05756715440052413,0.05657644234748779,0.38331733441115545,0.3839115516584064
8,2014-10-18,2343.0,2428.0,22847.0,6715.0,23205.0,6783.0,26543.0,27066.0,0.08827186075424782,0.08970664302076406,0.2939116733050291,0.2923076923076923
9,2014-10-19,1534.0,1565.0,19751.0,7604.0,19663.0,7789.0,23126.0,23050.0,0.0663322667127908,0.06789587852494577,0.38499316490304286,0.3961247012154809
10,2014-10-20,1327.0,1337.0,21471.0,8286.0,21531.0,8544.0,24437.0,24615.0,0.0543029013381348,0.05431647369490148,0.3859158865446416,0.39682318517486415
11,2014-10-21,1220.0,1237.0,19971.0,8651.0,20746.0,9187.0,23522.0,24245.0,0.05186633789643738,0.05102082903691483,0.4331781082569726,0.44283235322471803
12,2014-10-22,1098.0,1052.0,23288.0,10033.0,22574.0,10306.0,26605.0,25856.0,0.041270437887615107,0.04068688118811881,0.4308227413260048,0.4565429254895012
13,2014-10-23,1130.0,1091.0,21496.0,10163.0,21727.0,9850.0,24571.0,24805.0,0.045989174229783075,0.043983067929852855,0.472785634536658,0.4533529709577945
14,2014-10-24,1323.0,1330.0,18900.0,7205.0,19311.0,7614.0,22097.0,22526.0,0.05987238086618093,0.05904288377874456,0.38121693121693123,0.3942830511107659
15,2014-10-25,1154.0,1081.0,20738.0,8221.0,20630.0,8494.0,24099.0,23860.0,0.04788580439022366,0.045305951383067894,0.396422027196451,0.41173048957828406
16,2014-10-26,1427.0,1406.0,19967.0,7374.0,20331.0,7448.0,23189.0,23679.0,0.061537798093923846,0.059377507496093586,0.36930936044473384,0.3663371206531897
17,2014-10-27,1344.0,1344.0,20255.0,7373.0,20732.0,7943.0,23409.0,23898.0,0.05741381519928233,0.056239015817223195,0.3640088866946433,0.3831275323171908
18,2014-10-28,1588.0,1534.0,20565.0,6943.0,21081.0,7422.0,23775.0,24186.0,0.06679284963196636,0.0634251219713884,0.337612448334549,0.35207058488686493
19,2014-10-29,1281.0,1299.0,21446.0,7951.0,21044.0,8068.0,24449.0,24153.0,0.05239478097263692,0.0537821388647373,0.3707451272964655,0.3833871887473864
20,2014-10-30,1458.0,1476.0,19670.0,8216.0,19112.0,8041.0,22818.0,22279.0,0.063896923481462,0.0662507293864177,0.41769191662430094,0.42073043114273756
