,Date,Users Purchased Control,Users Purchased Variant,Users Landed Control,Users Bounced Control,Users Landed Variant,Users Bounced Variant,Users Visited Control,Users Visited Variant,Conversion Rate Control,Conversion Rate Variant,Bounce Rate Control,Bounce Rate Variant
0,2014-10-10,949.0,875.0,11539.0,4305.0,12026.0,4740.0,13247.0,13842.0,0.07163886162904809,0.06321340846698453,0.3730825894791576,0.3941460169632463
1,2014-10-11,585.0,606.0,13131.0,6504.0,13468.0,6578.0,14971.0,15299.0,0.039075546055707705,0.03961043205438264,0.4953164267763308,0.48841698841698844
2,2014-10-12,964.0,866.0,12714.0,5142.0,12608.0,5128.0,14759.0,14600.0,0.06531607832508977,0.059315068493150686,0.4044360547428032,0.4067258883248731
3,2014-10-13,814.0,720.0,13231.0,5330.0,13735.0,5917.0,15022.0,15444.0,0.054187192118226604,0.046620046620046623,0.4028418108986471,0.43079723334546777
4,2014-10-14,640.0,692.0,12430.0,5577.0,13123.0,6025.0,14275.0,14994.0,0.04483362521891419,0.046151794050953716,0.4486725663716814,0.4591175798216871
5,2014-10-15,730.0,711.0,12750.0,5866.0,13739.0,6725.0,14644.0,15684.0,0.04984976782299918,0.04533282325937261,0.460078431372549,0.48948249508697866
6,2014-10-16,604.0,638.0,13679.0,6356.0,14895.0,7186.0,15476.0,16637.0,0.03902817265443267,0.03834825990262668,0.46465384896556766,0.4824437730782142
7,2014-10-17,866.0,845.0,12393.0,4338.0,13105.0,4705.0,14308.0,15082.0,0.06052558009505172,0.0560270521151041,0.35003631082062453,0.35902327355971003
8,2014-10-18,1417.0,1471.0,13192.0,4121.0,12962.0,4163.0,15384.0,15151.0,0.09210868434737389,0.09708930103623523,0.3123862947240752,0.3211695725968215
9,2014-10-19,958.0,957.0,11274.0,4201.0,12101.0,4797.0,13183.0,14095.0,0.07266934688614124,0.06789641716920894,0.3726272840163207,0.39641351954383935
10,2014-10-20,819.0,777.0,13263.0,5201.0,12994.0,5346.0,15078.0,14792.0,0.054317548746518104,0.05252839372633856,0.3921435572645706,0.4114206556872403
11,2014-10-21,696.0,714.0,12548.0,5433.0,13505.0,6186.0,14333.0,15371.0,0.04855926882020512,0.04645110923167003,0.43297736691106153,0.4580525731210663
12,2014-10-22,740.0,689.0,13609.0,5773.0,13895.0,6182.0,15604.0,15821.0,0.047423737503204305,0.043549712407559574,0.42420457050481297,0.4449082403742353
13,2014-10-23,656.0,678.0,12822.0,5639.0,13308.0,6361.0,14692.0,15281.0,0.04465014974135584,0.04436882402984098,0.43979098424582747,0.47798316801923657
14,2014-10-24,806.0,763.0,11857.0,4823.0,11914.0,4785.0,13851.0,13897.0,0.05819074435058841,0.05490393610131683,0.4067639369149026,0.4016283364109451
15,2014-10-25,804.0,794.0,13060.0,5458.0,13115.0,5686.0,15020.0,15129.0,0.05352862849533955,0.05248198823451649,0.4179173047473201,0.4335493709492947
16,2014-10-26,861.0,794.0,12480.0,5071.0,12167.0,5236.0,14273.0,14062.0,0.06032368808239333,0.056464229839283175,0.4063301282051282,0.43034437412673626
17,2014-10-27,860.0,822.0,12533.0,4908.0,12636.0,5109.0,14600.0,14706.0,0.0589041095890411,0.05589555283557732,0.39160615973829094,0.404320987654321
18,2014-10-28,907.0,916.0,10809.0,4237.0,11540.0,4638.0,12636.0,13442.0,0.07177904400126622,0.0681446213361107,0.39198815801646775,0.4019064124783362
19,2014-10-29,780.0,787.0,12301.0,5251.0,12809.0,5544.0,14139.0,14643.0,0.05516656057712709,0.053745817113979376,0.4268758637509146,0.432820672964322
20,2014-10-30,855.0,834.0,12276.0,4382.0,12115.0,4307.0,14066.0,13858.0,0.06078487132091568,0.060181844421994514,0.3569566634082763,0.3555096987205943
