,Date,Users Purchased Control,Users Purchased Variant,Users Landed Control,Users Bounced Control,Users Landed Variant,Users Bounced Variant,Users Visited Control,Users Visited Variant,Conversion Rate Control,Conversion Rate Variant,Bounce Rate Control,Bounce Rate Variant
0,2014-10-10,477.0,485.0,5538.0,1958.0,5952.0,2122.0,6566.0,7004.0,0.07264696923545538,0.06924614505996574,0.35355724088118456,0.35651881720430106
1,2014-10-11,357.0,388.0,6677.0,3249.0,6667.0,3257.0,7601.0,7636.0,0.04696750427575319,0.05081194342587742,0.48659577654635316,0.48852557372131394
2,2014-10-12,477.0,452.0,6215.0,2508.0,5874.0,2457.0,7247.0,6888.0,0.06582033945080723,0.06562137049941928,0.40353982300884955,0.41828396322778344
3,2014-10-13,453.0,446.0,6427.0,2730.0,6337.0,2671.0,7416.0,7246.0,0.06108414239482201,0.06155120066243445,0.42477049945542245,0.42149281994634685
4,2014-10-14,397.0,400.0,6301.0,2646.0,6196.0,2586.0,7256.0,7247.0,0.05471334068357222,0.05519525320822409,0.4199333439136645,0.41736604260813426
5,2014-10-15,376.0,349.0,6188.0,2793.0,6361.0,2998.0,7194.0,7276.0,0.052265777036419235,0.04796591533809785,0.4513574660633484,0.47130954252476026
6,2014-10-16,388.0,389.0,6559.0,2998.0,6406.0,2923.0,7442.0,7281.0,0.052136522440204246,0.05342672709792611,0.45708187223662144,0.4562909772088667
7,2014-10-17,459.0,506.0,6608.0,2352.0,6592.0,2610.0,7561.0,7578.0,0.06070625578627166,0.06677223541831617,0.3559322033898305,0.39593446601941745
8,2014-10-18,799.0,816.0,6509.0,2246.0,6717.0,2268.0,7658.0,7756.0,0.10433533559676156,0.10520887055183084,0.34506068520510064,0.3376507369361322
9,2014-10-19,423.0,473.0,5507.0,2083.0,5594.0,2121.0,6426.0,6552.0,0.06582633053221289,0.07219169719169719,0.37824586889413475,0.379156238827315
10,2014-10-20,390.0,387.0,6048.0,2305.0,5823.0,2296.0,6964.0,6678.0,0.056002297530155086,0.057951482479784364,0.3811177248677249,0.3942984715782243
11,2014-10-21,417.0,416.0,5927.0,2427.0,6022.0,2503.0,6850.0,6957.0,0.06087591240875912,0.05979588903262901,0.40948203138181205,0.4156426436399867
12,2014-10-22,378.0,369.0,6492.0,2828.0,6416.0,2808.0,7514.0,7385.0,0.05030609528879425,0.04996614759647935,0.43561306223043744,0.4376558603491272
13,2014-10-23,379.0,385.0,6305.0,2913.0,6468.0,3003.0,7245.0,7414.0,0.052311939268461005,0.05192878338278932,0.46201427438540843,0.4642857142857143
14,2014-10-24,491.0,485.0,6225.0,2377.0,6210.0,2418.0,7253.0,7201.0,0.06769612574107266,0.06735175670045827,0.38184738955823294,0.3893719806763285
15,2014-10-25,377.0,415.0,6598.0,2843.0,6408.0,2881.0,7466.0,7323.0,0.05049557996249665,0.0566707633483545,0.43088814792361324,0.44959425717852686
16,2014-10-26,438.0,405.0,5657.0,2024.0,6068.0,2242.0,6567.0,6992.0,0.06669712197350389,0.0579233409610984,0.357786812798303,0.3694792353328939
17,2014-10-27,516.0,554.0,5868.0,2123.0,5810.0,2106.0,6772.0,6732.0,0.07619610159480213,0.08229352346999406,0.3617927743694615,0.3624784853700516
18,2014-10-28,500.0,479.0,5502.0,1817.0,5571.0,1871.0,6509.0,6522.0,0.07681671531725304,0.07344372891750997,0.33024354780079973,0.33584634715490935
19,2014-10-29,430.0,390.0,6182.0,2548.0,6247.0,2755.0,7182.0,7228.0,0.05987190197716513,0.0539568345323741,0.4121643481074086,0.4410116856090924
20,2014-10-30,472.0,454.0,5979.0,2214.0,5754.0,2138.0,6870.0,6655.0,0.06870451237263464,0.06821938392186326,0.3702960361264426,0.37156760514424747
