,Date,Users Purchased Control,Users Purchased Variant,Users Landed Control,Users Bounced Control,Users Landed Variant,Users Bounced Variant,Users Visited Control,Users Visited Variant,Conversion Rate Control,Conversion Rate Variant,Bounce Rate Control,Bounce Rate Variant
0,2014-10-10,325.0,319.0,4607.0,1736.0,4855.0,1929.0,5300.0,5677.0,0.06132075471698113,0.05619165051964065,0.3768178858259171,0.3973223480947477
1,2014-10-11,228.0,216.0,5424.0,2558.0,5850.0,2843.0,6052.0,6534.0,0.03767349636483807,0.03305785123966942,0.4716076696165192,0.485982905982906
2,2014-10-12,340.0,339.0,4774.0,1873.0,5439.0,2254.0,5583.0,6239.0,0.060899158158696044,0.05433563071004969,0.39233347297863425,0.4144144144144144
3,2014-10-13,303.0,279.0,5019.0,1847.0,4679.0,1737.0,5717.0,5467.0,0.05299982508308553,0.05103347356868484,0.3680015939430165,0.37123316948065826
4,2014-10-14,237.0,246.0,5128.0,2210.0,4745.0,2117.0,5915.0,5546.0,0.0400676246830093,0.04435629282365669,0.43096723868954756,0.4461538461538462
5,2014-10-15,238.0,210.0,4802.0,2117.0,5293.0,2759.0,5570.0,6028.0,0.04272890484739677,0.03483742534837425,0.4408579758433986,0.521254487058379
6,2014-10-16,210.0,222.0,5694.0,2429.0,5186.0,2350.0,6524.0,5930.0,0.032188841201716736,0.037436762225969644,0.426589392342817,0.45314307751639027
7,2014-10-17,308.0,359.0,5033.0,2179.0,5029.0,1919.0,5695.0,5674.0,0.05408252853380158,0.06327106097990835,0.43294257897874033,0.38158679657983696
8,2014-10-18,568.0,501.0,4537.0,1524.0,5234.0,1481.0,5452.0,6251.0,0.10418195157740279,0.08014717645176772,0.3359047828961869,0.2829575850210164
9,2014-10-19,410.0,371.0,5079.0,1731.0,4489.0,1710.0,5948.0,5295.0,0.06893073301950235,0.07006610009442871,0.3408151210868281,0.38093116507017155
10,2014-10-20,268.0,238.0,5024.0,2058.0,5049.0,2152.0,5773.0,5765.0,0.04642300363762342,0.04128360797918473,0.4096337579617834,0.42622301445830857
11,2014-10-21,291.0,274.0,4944.0,2074.0,4871.0,2290.0,5600.0,5510.0,0.05196428571428571,0.04972776769509982,0.41949838187702265,0.4701293368918087
12,2014-10-22,269.0,282.0,5087.0,2092.0,5344.0,2574.0,5898.0,6054.0,0.04560868090878264,0.04658077304261645,0.4112443483389031,0.48166167664670656
13,2014-10-23,270.0,254.0,5591.0,2627.0,5596.0,2442.0,6432.0,6316.0,0.04197761194029851,0.04021532615579481,0.4698622786621356,0.4363831308077198
14,2014-10-24,322.0,274.0,5314.0,2011.0,4690.0,2164.0,6058.0,5465.0,0.05315285572796302,0.05013723696248856,0.3784343244260444,0.46140724946695094
15,2014-10-25,264.0,260.0,5194.0,2377.0,5895.0,2516.0,5862.0,6677.0,0.04503582395087001,0.03893964355249364,0.4576434347323835,0.42680237489397793
16,2014-10-26,327.0,367.0,5108.0,2283.0,5762.0,2380.0,5874.0,6593.0,0.055669050051072526,0.055665099347793116,0.446945967110415,0.41305102395001736
17,2014-10-27,294.0,310.0,5230.0,1937.0,5196.0,2179.0,5983.0,6081.0,0.04913922781213438,0.05097845749054432,0.37036328871892926,0.4193610469591994
18,2014-10-28,384.0,338.0,4476.0,1233.0,4751.0,1542.0,5202.0,5558.0,0.07381776239907728,0.060813242173443686,0.2754691689008043,0.3245632498421385
19,2014-10-29,242.0,257.0,4409.0,1851.0,5450.0,2276.0,5172.0,6079.0,0.046790409899458624,0.0422766902451061,0.4198230891358585,0.41761467889908255
20,2014-10-30,336.0,300.0,4702.0,1836.0,4605.0,1598.0,5561.0,5333.0,0.06042078762812444,0.056253515844740296,0.39047213951509996,0.34701411509229096
