,Date,Users Purchased Control,Users Purchased Variant,Users Landed Control,Users Bounced Control,Users Landed Variant,Users Bounced Variant,Users Visited Control,Users Visited Variant,Conversion Rate Control,Conversion Rate Variant,Bounce Rate Control,Bounce Rate Variant
0,2014-10-10,241.0,291.0,2955.0,1020.0,3629.0,1365.0,3549.0,4280.0,0.06790645252183714,0.06799065420560747,0.34517766497461927,0.3761366767704602
1,2014-10-11,174.0,182.0,4363.0,2172.0,4826.0,2260.0,4889.0,5433.0,0.03559010022499488,0.03349898766795509,0.49782259912903964,0.46829672606713635
2,2014-10-12,257.0,253.0,4414.0,1804.0,3523.0,1353.0,5078.0,4082.0,0.050610476565576996,0.06197942185203332,0.40869959220661534,0.3840476866307125
3,2014-10-13,230.0,240.0,3987.0,1911.0,3778.0,1586.0,4590.0,4312.0,0.05010893246187364,0.055658627087198514,0.47930775018811134,0.41979883536262574
4,2014-10-14,187.0,209.0,3310.0,1471.0,3767.0,1423.0,3887.0,4436.0,0.048109081553897606,0.047114517583408476,0.4444108761329305,0.3777541810459251
5,2014-10-15,175.0,171.0,3800.0,1689.0,3752.0,1634.0,4388.0,4314.0,0.039881494986326343,0.039638386648122394,0.4444736842105263,0.43550106609808104
6,2014-10-16,203.0,217.0,3938.0,1856.0,3750.0,1687.0,4473.0,4218.0,0.04538341158059468,0.05144618302513039,0.4713052310817674,0.4498666666666667
7,2014-10-17,266.0,263.0,3675.0,1227.0,3957.0,1548.0,4260.0,4599.0,0.06244131455399061,0.05718634485757773,0.33387755102040817,0.3912054586808188
8,2014-10-18,482.0,390.0,3870.0,1348.0,3662.0,1226.0,4574.0,4376.0,0.10537822474857893,0.08912248628884827,0.3483204134366925,0.3347897323866739
9,2014-10-19,216.0,254.0,3297.0,1175.0,2966.0,1066.0,3834.0,3589.0,0.056338028169014086,0.07077180273056562,0.35638459205338185,0.3594066082265678
10,2014-10-20,192.0,203.0,3610.0,1108.0,3502.0,1150.0,4109.0,3923.0,0.04672669749330737,0.05174611266887586,0.30692520775623267,0.32838378069674473
11,2014-10-21,231.0,195.0,4033.0,1509.0,3464.0,1350.0,4583.0,3994.0,0.050403665721143354,0.048823234852278415,0.37416315397966776,0.38972286374133946
12,2014-10-22,183.0,189.0,3623.0,1688.0,3556.0,1748.0,4350.0,4218.0,0.04206896551724138,0.04480796586059744,0.46591222743582666,0.4915635545556805
13,2014-10-23,184.0,200.0,3586.0,1851.0,3871.0,1879.0,4173.0,4354.0,0.044092978672417925,0.045934772622875514,0.5161740100390407,0.4854042882975975
14,2014-10-24,244.0,244.0,3559.0,1512.0,3532.0,1392.0,4199.0,4029.0,0.05810907358894975,0.060560933234053115,0.4248384377634167,0.3941109852774632
15,2014-10-25,213.0,219.0,3426.0,1492.0,3969.0,1772.0,3894.0,4476.0,0.054699537750385205,0.048927613941018765,0.4354932866316404,0.4464600655076846
16,2014-10-26,240.0,214.0,3864.0,1399.0,3650.0,1182.0,4373.0,4202.0,0.05488223187742968,0.050928129462160875,0.3620600414078675,0.3238356164383562
17,2014-10-27,298.0,276.0,3390.0,1275.0,3670.0,1385.0,3934.0,4233.0,0.07574987290289781,0.06520198440822111,0.37610619469026546,0.3773841961852861
18,2014-10-28,271.0,220.0,3282.0,1125.0,2982.0,1008.0,3927.0,3540.0,0.06900942195059842,0.062146892655367235,0.34277879341864714,0.3380281690140845
19,2014-10-29,193.0,200.0,4127.0,1708.0,4117.0,1850.0,4735.0,4618.0,0.04076029567053854,0.043308791684711995,0.41385994669251275,0.44935632742288073
20,2014-10-30,232.0,248.0,3291.0,1466.0,3241.0,1226.0,3830.0,3759.0,0.060574412532637074,0.06597499334929502,0.44545730780917653,0.3782783091638383
