,Date,Users Purchased Control,Users Purchased Variant,Users Landed Control,Users Bounced Control,Users Landed Variant,Users Bounced Variant,Users Visited Control,Users Visited Variant,Conversion Rate Control,Conversion Rate Variant,Bounce Rate Control,Bounce Rate Variant
0,2014-10-10,554.0,491.0,7200.0,2766.0,8528.0,3386.0,8607.0,9862.0,0.06436621354711282,0.04978706144798215,0.38416666666666666,0.39704502814258913
1,2014-10-11,483.0,416.0,7434.0,3594.0,8252.0,3850.0,8740.0,9641.0,0.05526315789473684,0.04314905092832694,0.483454398708636,0.4665535627726612
2,2014-10-12,580.0,489.0,8400.0,3161.0,7380.0,2399.0,9690.0,8429.0,0.05985552115583075,0.05801399928817179,0.3763095238095238,0.32506775067750676
3,2014-10-13,571.0,524.0,8413.0,3070.0,6825.0,2963.0,9658.0,8087.0,0.059121971422654795,0.06479535056263139,0.36491144657078334,0.43413919413919416
4,2014-10-14,476.0,392.0,8286.0,3324.0,8438.0,3706.0,9626.0,9592.0,0.049449407853729484,0.0408673894912427,0.4011585807385952,0.4392036027494667
5,2014-10-15,508.0,423.0,8537.0,3070.0,6236.0,3050.0,9904.0,7320.0,0.051292407108239096,0.05778688524590164,0.35961110460349066,0.48909557408595256
6,2014-10-16,472.0,491.0,9632.0,4764.0,6917.0,3516.0,10741.0,7961.0,0.043943766874592685,0.061675668885818366,0.4946013289036545,0.5083128523926558
7,2014-10-17,549.0,568.0,8227.0,3060.0,8281.0,3736.0,9376.0,9333.0,0.0585537542662116,0.060859316404157295,0.3719460313601556,0.4511532423620336
8,2014-10-18,864.0,1009.0,8471.0,2419.0,9902.0,2789.0,9568.0,11515.0,0.0903010033444816,0.08762483716891012,0.28556250737811356,0.28166027065239346
9,2014-10-19,733.0,613.0,7754.0,3082.0,8139.0,2986.0,9131.0,9314.0,0.08027598291534334,0.0658149022976165,0.3974722723755481,0.36687553753532376
10,2014-10-20,534.0,583.0,8178.0,2881.0,8603.0,3827.0,9479.0,9827.0,0.056335056440552804,0.059326345782029104,0.35228662264612376,0.44484482157386956
11,2014-10-21,497.0,447.0,7410.0,3080.0,8804.0,3718.0,9087.0,10348.0,0.05469351821283152,0.04319675299574797,0.4156545209176788,0.4223080417991822
12,2014-10-22,473.0,464.0,9442.0,3880.0,9870.0,4481.0,10578.0,11400.0,0.044715447154471545,0.04070175438596491,0.4109298877356492,0.45400202634245185
13,2014-10-23,469.0,481.0,7498.0,3691.0,9637.0,4092.0,8841.0,10780.0,0.05304829770387965,0.04461966604823748,0.4922646038943718,0.42461346892186363
14,2014-10-24,600.0,571.0,7943.0,3520.0,6855.0,2732.0,9098.0,8238.0,0.06594856012310397,0.06931294003398883,0.4431574971673171,0.3985412107950401
15,2014-10-25,462.0,350.0,8726.0,3929.0,7069.0,2587.0,9976.0,8574.0,0.046311146752205296,0.040821087007231166,0.45026358010543205,0.3659640684679587
16,2014-10-26,609.0,544.0,8150.0,2829.0,6901.0,2347.0,9481.0,8219.0,0.064233730619133,0.06618810074218275,0.3471165644171779,0.34009563831328793
17,2014-10-27,546.0,510.0,7852.0,3387.0,9412.0,3098.0,9260.0,10365.0,0.05896328293736501,0.049204052098408106,0.4313550687722873,0.32915427114322143
18,2014-10-28,746.0,653.0,7838.0,2609.0,6844.0,2369.0,9062.0,8035.0,0.08232178327080114,0.08126944617299316,0.33286552692013266,0.3461426066627703
19,2014-10-29,507.0,543.0,8582.0,2627.0,9722.0,4471.0,9847.0,10937.0,0.05148776277038692,0.049647983907835785,0.3061058028431601,0.45988479736679694
20,2014-10-30,624.0,537.0,8235.0,3621.0,7324.0,3221.0,9376.0,8603.0,0.06655290102389079,0.06242008601650587,0.4397085610200364,0.4397870016384489
