,Date,Users Purchased Control,Users Purchased Variant,Users Landed Control,Users Bounced Control,Users Landed Variant,Users Bounced Variant,Users Visited Control,Users Visited Variant,Conversion Rate Control,Conversion Rate Variant,Bounce Rate Control,Bounce Rate Variant
0,2014-10-10,1265.0,1164.0,16475.0,6424.0,17261.0,7844.0,19124.0,19771.0,0.06614724952938716,0.05887410854281523,0.38992412746585736,0.45443485313712995
1,2014-10-11,935.0,790.0,20264.0,11553.0,17826.0,7285.0,22617.0,19971.0,0.04134058451607198,0.03955735816934555,0.5701243584682195,0.408672725232806
2,2014-10-12,1266.0,1078.0,19968.0,7940.0,19306.0,8454.0,21992.0,22167.0,0.05756638777737359,0.04863084765642622,0.39763621794871795,0.4378949549362892
3,2014-10-13,1215.0,1039.0,21799.0,7437.0,19857.0,9154.0,24762.0,22392.0,0.04906711897261934,0.04640050017863523,0.3411624386439745,0.46099612227426096
4,2014-10-14,1050.0,862.0,21602.0,7027.0,20739.0,8134.0,24361.0,23721.0,0.04310167891301671,0.03633910880654272,0.3252939542634941,0.39220791745021455
5,2014-10-15,1056.0,930.0,20193.0,9488.0,17564.0,7809.0,22918.0,20657.0,0.04607731913779562,0.045021058236917266,0.4698657950775021,0.44460259621953996
6,2014-10-16,983.0,894.0,20220.0,10007.0,20966.0,10192.0,22572.0,23988.0,0.04354953039163566,0.03726863431715858,0.49490603363006924,0.48612038538586283
7,2014-10-17,1311.0,1121.0,16388.0,5837.0,20135.0,8363.0,19659.0,22731.0,0.0666870135815657,0.049315912190400775,0.3561752501830608,0.41534641172088405
8,2014-10-18,3535.0,3643.0,21683.0,5816.0,21048.0,5693.0,25203.0,25374.0,0.14026108003015514,0.14357216047923071,0.2682285661578195,0.27047700494108706
9,2014-10-19,1128.0,1159.0,17567.0,5713.0,17121.0,6386.0,19932.0,19864.0,0.056592414208308246,0.058346757954087794,0.3252120453122332,0.37299223176216345
10,2014-10-20,1124.0,1251.0,19585.0,6531.0,20018.0,7979.0,22298.0,22621.0,0.050408108350524714,0.055302594933910966,0.33346949195813125,0.39859126785892696
11,2014-10-21,1008.0,1210.0,19753.0,7186.0,20146.0,8726.0,22413.0,22938.0,0.04497389907642886,0.05275089371348853,0.36379284159368197,0.4331380919289189
12,2014-10-22,1038.0,950.0,21542.0,9312.0,23896.0,9378.0,24199.0,26444.0,0.04289433447663127,0.035924973528966876,0.43227184105468386,0.3924506193505189
13,2014-10-23,1053.0,1051.0,18736.0,8415.0,16685.0,7687.0,21986.0,19922.0,0.047894114436459564,0.05275574741491818,0.4491353543979505,0.4607132154629907
14,2014-10-24,1309.0,1392.0,18476.0,5961.0,18388.0,7079.0,21017.0,21443.0,0.06228291383166008,0.06491628969826983,0.3226347694306127,0.38497933434848813
15,2014-10-25,1211.0,938.0,15951.0,5701.0,16732.0,7516.0,18737.0,19696.0,0.06463147782462507,0.047623883021933384,0.3574070591185506,0.4491991393736553
16,2014-10-26,1445.0,1081.0,18375.0,7801.0,17473.0,5954.0,20658.0,20496.0,0.06994868815955078,0.05274199843871975,0.42454421768707484,0.34075430664453726
17,2014-10-27,1257.0,1251.0,20849.0,7192.0,23476.0,10004.0,23575.0,25816.0,0.053319194061505835,0.048458320421444066,0.34495659264233297,0.42613733174305674
18,2014-10-28,1293.0,1373.0,19574.0,6898.0,20429.0,7859.0,22277.0,23206.0,0.058041926650805764,0.059165733000086186,0.3524062531930111,0.3846982231142004
19,2014-10-29,992.0,926.0,19174.0,8815.0,22449.0,10180.0,22521.0,25416.0,0.04404777762976777,0.03643374252439408,0.4597371440492333,0.45347231502516816
20,2014-10-30,1178.0,965.0,18125.0,7378.0,16597.0,7432.0,21414.0,19580.0,0.05501074063696647,0.049284984678243104,0.4070620689655172,0.4477917695969151
