,Date,Users Purchased Control,Users Purchased Variant,Users Landed Control,Users Bounced Control,Users Landed Variant,Users Bounced Variant,Users Visited Control,Users Visited Variant,Conversion Rate Control,Conversion Rate Variant,Bounce Rate Control,Bounce Rate Variant
0,2014-10-10,272.0,258.0,3768.0,1336.0,3838.0,1440.0,4227.0,4252.0,0.06434823752070026,0.06067732831608655,0.35456475583864117,0.3751954142782699
1,2014-10-11,187.0,250.0,3846.0,1659.0,4000.0,1775.0,4406.0,4571.0,0.04244212437585111,0.05469262743382192,0.43135725429017163,0.44375
2,2014-10-12,302.0,307.0,3090.0,1186.0,2548.0,1102.0,3665.0,3024.0,0.08240109140518417,0.10152116402116403,0.3838187702265372,0.4324960753532182
3,2014-10-13,265.0,266.0,3531.0,1266.0,3836.0,1556.0,4007.0,4284.0,0.06613426503618668,0.06209150326797386,0.35853865760407816,0.4056308654848801
4,2014-10-14,262.0,212.0,3042.0,1092.0,3586.0,1462.0,3655.0,4155.0,0.07168262653898769,0.05102286401925391,0.358974358974359,0.40769659788064694
5,2014-10-15,167.0,224.0,3700.0,1644.0,3033.0,1177.0,4236.0,3612.0,0.039423984891406985,0.06201550387596899,0.44432432432432434,0.3880646224859875
6,2014-10-16,218.0,225.0,3317.0,1487.0,3911.0,1727.0,3851.0,4434.0,0.05660867307192937,0.05074424898511502,0.448296653602653,0.44157504474558934
7,2014-10-17,266.0,173.0,3413.0,1008.0,3627.0,1537.0,3976.0,4134.0,0.06690140845070422,0.04184808901790034,0.29534134192792266,0.42376619795974635
8,2014-10-18,580.0,627.0,3533.0,990.0,3069.0,1058.0,4355.0,3759.0,0.13318025258323765,0.16679968076616122,0.280215114633456,0.34473769957640926
9,2014-10-19,268.0,265.0,2916.0,1091.0,3652.0,1145.0,3372.0,4124.0,0.07947805456702253,0.06425800193986421,0.37414266117969824,0.313526834611172
10,2014-10-20,255.0,227.0,3364.0,1359.0,3769.0,1630.0,3943.0,4346.0,0.06467156987065686,0.05223193741371376,0.4039833531510107,0.43247545768108253
11,2014-10-21,203.0,217.0,3779.0,1344.0,4292.0,1422.0,4237.0,4793.0,0.04791125796554166,0.04527435843939078,0.3556496427626356,0.33131407269338303
12,2014-10-22,208.0,177.0,3405.0,1435.0,3430.0,1352.0,3956.0,4063.0,0.0525783619817998,0.04356386906226926,0.42143906020558003,0.39416909620991253
13,2014-10-23,273.0,237.0,3516.0,1151.0,3830.0,1543.0,3973.0,4352.0,0.06871381827334508,0.054457720588235295,0.32736063708759955,0.40287206266318537
14,2014-10-24,246.0,276.0,2811.0,1327.0,3536.0,1224.0,3404.0,4112.0,0.07226792009400705,0.06712062256809338,0.472073995019566,0.34615384615384615
15,2014-10-25,269.0,203.0,4289.0,1562.0,3342.0,1573.0,4990.0,3883.0,0.053907815631262526,0.05227916559361319,0.36418745628351595,0.4706762417713944
16,2014-10-26,289.0,218.0,3300.0,801.0,3080.0,1087.0,3793.0,3469.0,0.07619298708146585,0.0628423176707985,0.24272727272727274,0.3529220779220779
17,2014-10-27,283.0,269.0,2973.0,1159.0,3187.0,995.0,3547.0,3598.0,0.07978573442345645,0.07476375764313507,0.3898419105280861,0.3122058362096015
18,2014-10-28,311.0,261.0,3342.0,1256.0,3550.0,1078.0,3935.0,4117.0,0.07903430749682339,0.06339567646344425,0.3758228605625374,0.3036619718309859
19,2014-10-29,213.0,215.0,3625.0,1338.0,3194.0,1226.0,4101.0,3760.0,0.05193855157278712,0.057180851063829786,0.36910344827586206,0.38384470882905447
20,2014-10-30,276.0,240.0,3342.0,1101.0,3529.0,1567.0,3767.0,4012.0,0.07326785240244227,0.05982053838484546,0.32944344703770195,0.44403513743270046
