,Date,Users Purchased Control,Users Purchased Variant,Users Landed Control,Users Bounced Control,Users Landed Variant,Users Bounced Variant,Users Visited Control,Users Visited Variant,Conversion Rate Control,Conversion Rate Variant,Bounce Rate Control,Bounce Rate Variant
0,2014-10-10,439.0,408.0,4936.0,1998.0,4452.0,2016.0,5596.0,5136.0,0.07844889206576126,0.0794392523364486,0.40478119935170176,0.4528301886792453
1,2014-10-11,274.0,269.0,5835.0,2796.0,5692.0,2791.0,6573.0,6535.0,0.04168568385820782,0.041162968630451414,0.47917737789203085,0.4903373155305692
2,2014-10-12,511.0,339.0,5361.0,2021.0,5347.0,1943.0,6126.0,6078.0,0.08341495266079008,0.05577492596248766,0.37698190636075357,0.3633813353282214
3,2014-10-13,436.0,264.0,5191.0,2003.0,4203.0,1833.0,5959.0,4892.0,0.07316663869776809,0.05396565821749796,0.38586014255442114,0.43611705924339755
4,2014-10-14,288.0,324.0,5288.0,2236.0,5819.0,2449.0,5980.0,6704.0,0.048160535117056855,0.04832935560859188,0.4228441754916793,0.42086269118405223
5,2014-10-15,347.0,308.0,4875.0,2274.0,5901.0,2938.0,5496.0,6739.0,0.063136826783115,0.045704110402136816,0.4664615384615385,0.4978817149635655
6,2014-10-16,277.0,316.0,5817.0,2390.0,6072.0,2978.0,6453.0,6901.0,0.04292577095924376,0.04579046514997826,0.4108647068935878,0.4904479578392622
7,2014-10-17,352.0,365.0,5238.0,2008.0,4694.0,1596.0,6126.0,5443.0,0.0574600065295462,0.06705860738563292,0.383352424589538,0.34000852151683
8,2014-10-18,618.0,576.0,5128.0,1324.0,5335.0,1667.0,5930.0,6396.0,0.10421585160202361,0.0900562851782364,0.2581903276131045,0.312464854732896
9,2014-10-19,465.0,448.0,4450.0,1793.0,5219.0,1982.0,5259.0,6015.0,0.08841985168282944,0.07448046550290939,0.40292134831460674,0.3797662387430542
10,2014-10-20,388.0,300.0,5173.0,2161.0,5524.0,2236.0,5937.0,6276.0,0.0653528718207849,0.04780114722753346,0.4177459887879374,0.4047791455467053
11,2014-10-21,292.0,369.0,4528.0,2151.0,4714.0,2080.0,5176.0,5354.0,0.05641421947449768,0.06892043332088159,0.4750441696113074,0.4412388629613916
12,2014-10-22,365.0,282.0,5356.0,2059.0,5772.0,2414.0,6208.0,6624.0,0.058795103092783504,0.042572463768115944,0.3844286781179985,0.4182259182259182
13,2014-10-23,274.0,305.0,5324.0,1968.0,6186.0,2678.0,6150.0,7023.0,0.04455284552845529,0.043428734159191226,0.36964688204357626,0.43291302942127385
14,2014-10-24,371.0,326.0,4418.0,1740.0,4771.0,1957.0,5244.0,5503.0,0.07074752097635392,0.059240414319462115,0.39384336803983705,0.41018654370153007
15,2014-10-25,391.0,337.0,5195.0,2115.0,5782.0,2410.0,5968.0,6641.0,0.06551608579088472,0.05074536967324198,0.40712223291626565,0.41681079211345556
16,2014-10-26,344.0,298.0,5530.0,2405.0,4282.0,1729.0,6224.0,4989.0,0.055269922879177376,0.05973140910002005,0.4349005424954792,0.40378327884166276
17,2014-10-27,430.0,326.0,5324.0,2166.0,4611.0,1559.0,6143.0,5664.0,0.06999837213088067,0.05755649717514124,0.40683696468820435,0.3381045326393407
18,2014-10-28,377.0,383.0,4327.0,1570.0,4437.0,1532.0,5144.0,5133.0,0.07328926905132192,0.0746152347555036,0.3628379939912179,0.3452783412215461
19,2014-10-29,304.0,346.0,4854.0,1951.0,5693.0,2705.0,5676.0,6415.0,0.053558844256518676,0.053936087295401405,0.4019365471775855,0.4751449148076585
20,2014-10-30,390.0,369.0,4797.0,1495.0,4947.0,1499.0,5562.0,5650.0,0.07011866235167206,0.06530973451327433,0.3116531165311653,0.30301192642005254
