,Date,Users Purchased Control,Users Purchased Variant,Users Landed Control,Users Bounced Control,Users Landed Variant,Users Bounced Variant,Users Visited Control,Users Visited Variant,Conversion Rate Control,Conversion Rate Variant,Bounce Rate Control,Bounce Rate Variant
0,2014-10-10,236.0,194.0,2583.0,938.0,2323.0,757.0,3017.0,2724.0,0.0782234007292012,0.07121879588839941,0.36314363143631434,0.32587171760654327
1,2014-10-11,183.0,206.0,2314.0,1077.0,1841.0,997.0,2712.0,2203.0,0.06747787610619468,0.0935088515660463,0.46542783059636994,0.5415535035306899
2,2014-10-12,220.0,199.0,1801.0,704.0,2351.0,1104.0,2169.0,2806.0,0.10142923005993545,0.07091945830363507,0.390893947806774,0.46958740961293066
3,2014-10-13,223.0,206.0,2440.0,819.0,2559.0,1085.0,2826.0,2934.0,0.0789101203113942,0.07021131561008861,0.335655737704918,0.4239937475576397
4,2014-10-14,210.0,191.0,2991.0,1175.0,2429.0,1163.0,3369.0,2811.0,0.06233303650934995,0.06794734969761651,0.3928452022734871,0.4787978592013174
5,2014-10-15,201.0,178.0,2388.0,1104.0,2609.0,1364.0,2806.0,2962.0,0.07163221667854597,0.06009453072248481,0.4623115577889447,0.5228056726715217
6,2014-10-16,185.0,172.0,2621.0,1142.0,2656.0,1236.0,2969.0,3063.0,0.06231054227012462,0.056154097290238326,0.4357115604731019,0.46536144578313254
7,2014-10-17,193.0,243.0,2933.0,1125.0,2635.0,1062.0,3301.0,2979.0,0.05846713117237201,0.08157099697885196,0.38356631435390387,0.4030360531309298
8,2014-10-18,317.0,426.0,2639.0,898.0,3055.0,1042.0,3084.0,3380.0,0.10278858625162127,0.12603550295857988,0.3402804092459265,0.34108019639934534
9,2014-10-19,207.0,219.0,2210.0,908.0,2628.0,1055.0,2592.0,2963.0,0.0798611111111111,0.07391157610529868,0.4108597285067873,0.4014459665144597
10,2014-10-20,198.0,184.0,2438.0,1197.0,2321.0,1146.0,2855.0,2755.0,0.06935201401050788,0.06678765880217785,0.49097621000820346,0.49375269280482553
11,2014-10-21,186.0,221.0,1894.0,918.0,2558.0,1153.0,2267.0,2963.0,0.08204675782973092,0.07458656766790416,0.48468848996832103,0.45074276778733385
12,2014-10-22,195.0,180.0,2869.0,1140.0,2860.0,1060.0,3164.0,3167.0,0.06163084702907712,0.05683612251341964,0.3973509933774834,0.3706293706293706
13,2014-10-23,195.0,185.0,2719.0,1062.0,2597.0,1124.0,3072.0,3060.0,0.0634765625,0.06045751633986928,0.39058477381390216,0.4328070850981902
14,2014-10-24,247.0,241.0,2666.0,865.0,2678.0,1026.0,3054.0,3172.0,0.08087753765553372,0.07597730138713746,0.3244561140285071,0.38312173263629573
15,2014-10-25,164.0,196.0,3172.0,1351.0,2439.0,1109.0,3572.0,2847.0,0.04591265397536394,0.0688443976115209,0.4259142496847415,0.45469454694546946
16,2014-10-26,198.0,191.0,1793.0,625.0,2418.0,1060.0,2194.0,2790.0,0.0902461257976299,0.06845878136200717,0.3485778025655326,0.43837882547559964
17,2014-10-27,218.0,278.0,2478.0,848.0,2140.0,721.0,2838.0,2499.0,0.07681465821000705,0.11124449779911964,0.34221146085552867,0.3369158878504673
18,2014-10-28,229.0,259.0,2220.0,692.0,2589.0,863.0,2582.0,2982.0,0.08869093725793958,0.08685446009389672,0.3117117117117117,0.3333333333333333
19,2014-10-29,237.0,190.0,2055.0,840.0,2130.0,905.0,2447.0,2610.0,0.09685328974254188,0.07279693486590039,0.40875912408759124,0.42488262910798125
20,2014-10-30,240.0,206.0,2688.0,748.0,2513.0,912.0,3040.0,2896.0,0.07894736842105263,0.07113259668508287,0.27827380952380953,0.36291285316354954
